"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@chilternrailway Will you BAN to hold the connection to BMO please? Or everyone on this service will be claiming co… https://t.co/GP2R0JXLvb",FALSE,0,"chilternrailway",2018-05-26 15:31:38,TRUE,NA,"1000399066428329984","23776825","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jbell_counsel",0,FALSE,FALSE,NA,NA
"2","Get excellent service, prompt claim response &amp; more with CIBC FirstCaribbean Auto insurance. https://t.co/itThnTGVJh https://t.co/iHs71GEfQf",FALSE,0,NA,2018-05-26 15:00:53,FALSE,NA,"1000391325735415808",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CIBCFCIBBB",0,FALSE,FALSE,NA,NA
"3","Commercial Service Officer: BMO Financial Group (Burnaby BC): ""The Commercial Service Office.. #vancouver #eluta https://t.co/TLBcDf3Z5o",FALSE,0,NA,2018-05-26 02:49:13,FALSE,NA,"1000207199208116224",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Vancouver__jobs",0,FALSE,FALSE,NA,NA
"4","Commercial Service Officer: BMO Financial Group (Burnaby BC): ""The Commercial Service Officer (.. #office #eluta https://t.co/Z6CyMZOyQK",FALSE,0,NA,2018-05-26 02:24:27,FALSE,NA,"1000200963251146754",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Office__Jobs",0,FALSE,FALSE,NA,NA
"5","Commercial Service Officer: BMO Financial Group (Burnaby BC): ""The Commercial Service Officer (CSO) sup.. #eluta https://t.co/g4LJ14C9cA",FALSE,0,NA,2018-05-26 01:06:27,FALSE,NA,"1000181337381326850",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","eluta_jobs",0,FALSE,FALSE,NA,NA
"6","Customer Service Representative https://t.co/m1piSKlJj3 
CIBC
 Location : Yellowknife NT CA
Grow your skills a...",FALSE,0,NA,2018-05-25 23:01:52,FALSE,NA,"1000149982010277890",NA,"<a href=""https://worldwidenetjobs.com/canada"" rel=""nofollow"">Canada Jobalerts</a>","canadajobalert",0,FALSE,FALSE,NA,NA
"7","@mcewen650 @AirCanada Hi Mark, the primary cardholder with the CIBC Aerogold does get the 1st checked bag  free wit… https://t.co/Vxe6HJa1lS",FALSE,0,"mcewen650",2018-05-25 18:58:48,TRUE,"1000078806328094720","1000088813039996928","353122470","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Aeroplan",0,FALSE,FALSE,NA,NA
"8","Even our “peeps” what in line for great customer service <U+0001F426>#birdinourbranch #devmall #bmo #swodrocks https://t.co/Q7sZvmvBSc",FALSE,5,NA,2018-05-25 18:50:18,FALSE,NA,"1000086676155363328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TammyFaddoul",0,FALSE,FALSE,NA,NA
"9","Commercial Service Officer: BMO Financial Group (Kelowna BC): ""supports effective delivery of .. #kelowna #eluta https://t.co/USQmU1FdTe",FALSE,0,NA,2018-05-25 15:27:01,FALSE,NA,"1000035516622962688",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","KelownaJob",0,FALSE,FALSE,NA,NA
"10","For United Way’s #DayofCaring2018 we’ve got over 40 volunteers from Service NB, Social Development, CIBC, and Inves… https://t.co/g5Xf8kmqKD",FALSE,0,NA,2018-05-25 14:59:15,TRUE,NA,"1000028528274964482",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","dg2hunt",0,FALSE,FALSE,NA,NA
